x=[ 0.5  0.5] y=[ 0.5  0.5] a=0.0058823529411764705 target value=1.25
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.2856710354680022 target value=0.0023703536263255387
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.2856710355722243 target value=0.009264396080631343
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.2856710356466732 target value=0.002370353626048427
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.28567103569985414 target value=0.009264396081057669
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.28567103573784286 target value=0.002370353625913424
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.2856710357649793 target value=0.009264396081274384
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.28567103578436365 target value=0.0023703536258423696
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.28567103579821046 target value=0.00926439608139873
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.2856710358081016 target value=0.0023703536258068425
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.2856710358151672 target value=0.009264396081448467
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.2856710358202143 target value=0.0023703536257855262
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.2856710358238196 target value=0.009264396081480442
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.28567103582639497 target value=0.002370353625778421
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.28567103582823467 target value=0.009264396081498205
x=[ 0.51058818  0.32983991] y=[ 0.50831576  0.32756748] a=0.2856710358295488 target value=0.00237035362576421
x=[ 0.51467816  0.33392988] y=[ 0.51695058  0.33620231] a=0.2856710358304875 target value=0.00926439608150531
